Registration id,Course Instance,Student id,Status,Grade
I-149419860309-0002,I-1494,19860309-0002,completed,3.0
I-399719860309-0002,I-3997,19860309-0002,completed,4.0
I-65819860309-0002,I-658,19860309-0002,completed,3.0
I-149919860309-0002,I-1499,19860309-0002,completed,4.0
I-149619860309-0002,I-1496,19860309-0002,completed,4.0
I-43319860309-0002,I-433,19860309-0002,completed,3.0
I-150019860309-0002,I-1500,19860309-0002,completed,4.0
I-128919860309-0002,I-1289,19860309-0002,completed,4.0
I-107419860309-0002,I-1074,19860309-0002,completed,4.0
I-160719860309-0002,I-1607,19860309-0002,completed,3.0
I-87119860309-0002,I-871,19860309-0002,completed,3.0
I-160819860309-0002,I-1608,19860309-0002,completed,5.0
I-369719860309-0002,I-3697,19860309-0002,completed,5.0
I-192219850305-0003,I-1922,19850305-0003,completed,5.0
I-119919850305-0003,I-1199,19850305-0003,completed,5.0
I-192419850305-0003,I-1924,19850305-0003,completed,3.0
I-265819850305-0003,I-2658,19850305-0003,completed,3.0
I-203719850305-0003,I-2037,19850305-0003,completed,5.0
I-203819850305-0003,I-2038,19850305-0003,completed,5.0
I-204019850305-0003,I-2040,19850305-0003,completed,3.0
I-204119850305-0003,I-2041,19850305-0003,completed,4.0
I-203919850305-0003,I-2039,19850305-0003,completed,5.0
I-204419850305-0003,I-2044,19850305-0003,completed,5.0
I-299319850305-0003,I-2993,19850305-0003,completed,4.0
I-507419850305-0003,I-5074,19850305-0003,completed,5.0
I-120419850305-0003,I-1204,19850305-0003,completed,3.0
I-204219850305-0003,I-2042,19850305-0003,completed,3.0
I-215619850305-0003,I-2156,19850305-0003,completed,3.0
I-215719850305-0003,I-2157,19850305-0003,completed,5.0
I-215919850305-0003,I-2159,19850305-0003,completed,4.0
I-15319850305-0003,I-153,19850305-0003,completed,3.0
I-483419860211-0004,I-4834,19860211-0004,completed,5.0
I-295619860211-0004,I-2956,19860211-0004,completed,5.0
I-462319860211-0004,I-4623,19860211-0004,completed,3.0
I-211919860211-0004,I-2119,19860211-0004,completed,5.0
I-295719860211-0004,I-2957,19860211-0004,completed,3.0
I-138519860211-0004,I-1385,19860211-0004,completed,4.0
I-296619860211-0004,I-2966,19860211-0004,completed,3.0
I-296519860211-0004,I-2965,19860211-0004,completed,5.0
I-296419860211-0004,I-2964,19860211-0004,completed,4.0
I-169419860211-0004,I-1694,19860211-0004,completed,4.0
I-357619880122-0005,I-3576,19880122-0005,completed,5.0
I-357819880122-0005,I-3578,19880122-0005,completed,3.0
I-32719880122-0005,I-327,19880122-0005,completed,5.0
I-358219880122-0005,I-3582,19880122-0005,completed,4.0
I-401119880122-0005,I-4011,19880122-0005,completed,4.0
I-34219880122-0005,I-342,19880122-0005,completed,3.0
I-23819880122-0005,I-238,19880122-0005,completed,5.0
I-192319880122-0005,I-1923,19880122-0005,completed,3.0
I-263619850603-0006,I-2636,19850603-0006,completed,3.0
I-263719850603-0006,I-2637,19850603-0006,completed,3.0
I-263819850603-0006,I-2638,19850603-0006,completed,5.0
I-494119850603-0006,I-4941,19850603-0006,completed,3.0
I-223319850603-0006,I-2233,19850603-0006,completed,4.0
I-275619850603-0006,I-2756,19850603-0006,completed,4.0
I-275919850603-0006,I-2759,19850603-0006,completed,3.0
I-276119850603-0006,I-2761,19850603-0006,completed,3.0
I-516619860222-0007,I-5166,19860222-0007,completed,5.0
I-244719860222-0007,I-2447,19860222-0007,completed,3.0
I-378619860222-0007,I-3786,19860222-0007,completed,4.0
I-160619860222-0007,I-1606,19860222-0007,completed,4.0
I-537819860222-0007,I-5378,19860222-0007,completed,5.0
I-389719860222-0007,I-3897,19860222-0007,completed,5.0
I-389919860222-0007,I-3899,19860222-0007,completed,4.0
I-422619860222-0007,I-4226,19860222-0007,completed,3.0
I-401519860222-0007,I-4015,19860222-0007,completed,3.0
I-401619860222-0007,I-4016,19860222-0007,completed,3.0
I-401819860222-0007,I-4018,19860222-0007,completed,3.0
I-432419860222-0007,I-4324,19860222-0007,completed,3.0
I-401719860222-0007,I-4017,19860222-0007,completed,3.0
I-402419860222-0007,I-4024,19860222-0007,completed,4.0
I-110019860222-0007,I-1100,19860222-0007,completed,5.0
I-402019860222-0007,I-4020,19860222-0007,completed,3.0
I-517919860222-0007,I-5179,19860222-0007,completed,5.0
I-519861018-0009,I-5,19861018-0009,completed,5.0
I-399319861018-0009,I-3993,19861018-0009,completed,3.0
I-536019861018-0009,I-5360,19861018-0009,completed,4.0
I-535919861018-0009,I-5359,19861018-0009,completed,5.0
I-53519860829-0010,I-535,19860829-0010,completed,5.0
I-525519860829-0010,I-5255,19860829-0010,completed,4.0
I-96019860829-0010,I-960,19860829-0010,completed,5.0
I-525719860829-0010,I-5257,19860829-0010,completed,4.0
I-389119860829-0010,I-3891,19860829-0010,completed,5.0
I-536819860829-0010,I-5368,19860829-0010,completed,4.0
I-536919860829-0010,I-5369,19860829-0010,completed,3.0
I-118219860829-0010,I-1182,19860829-0010,completed,3.0
I-105819850527-0011,I-1058,19850527-0011,completed,5.0
I-105919850527-0011,I-1059,19850527-0011,completed,3.0
I-149019850527-0011,I-1490,19850527-0011,completed,5.0
I-263819850527-0011,I-2638,19850527-0011,completed,4.0
I-473219850527-0011,I-4732,19850527-0011,completed,3.0
I-106919850527-0011,I-1069,19850527-0011,completed,3.0
I-32319850527-0011,I-323,19850527-0011,completed,5.0
I-138919850527-0011,I-1389,19850527-0011,completed,5.0
I-106719850527-0011,I-1067,19850527-0011,completed,5.0
I-483519850527-0011,I-4835,19850527-0011,completed,5.0
I-118119850527-0011,I-1181,19850527-0011,completed,3.0
I-86519850527-0011,I-865,19850527-0011,completed,5.0
I-118319850527-0011,I-1183,19850527-0011,completed,4.0
I-118519850527-0011,I-1185,19850527-0011,completed,3.0
I-23019850527-0011,I-230,19850527-0011,completed,3.0
I-75919850527-0011,I-759,19850527-0011,completed,3.0
