Course,Planned number of Students,Senior Hours,Assistant Hours,Course code,Study period,Academic year,Instance_id,Examiner
I-1,50,280,300,1204,1.0,2013-2014,I-1,19610918-0027
I-2,20,240,240,1082,3.0,2013-2014,I-2,19620522-0023
I-3,20,240,300,1190,4.0,2013-2014,I-3,19560705-0025
I-4,50,280,420,1009,3.0,2013-2014,I-4,19600529-0021
I-5,60,280,300,1264,4.0,2013-2014,I-5,19570828-0008
I-6,20,280,300,1161,2.0,2013-2014,I-6,19630126-0001
I-7,50,260,420,1076,4.0,2013-2014,I-7,19660630-0020
I-8,50,240,420,1055,3.0,2013-2014,I-8,19601021-0018
I-9,60,280,300,1048,3.0,2013-2014,I-9,19690408-0009
I-10,40,280,300,1007,4.0,2013-2014,I-10,19590129-0004
I-11,20,240,360,1124,1.0,2014-2015,I-11,19620831-0024
I-12,40,260,280,1019,1.0,2014-2015,I-12,19620424-0026
I-13,20,240,300,1193,1.0,2014-2015,I-13,19630126-0001
I-14,40,240,420,1108,4.0,2014-2015,I-14,19680712-0028
I-15,50,280,300,1063,3.0,2014-2015,I-15,19601021-0018
I-16,40,280,360,1050,3.0,2014-2015,I-16,19580218-0007
I-17,50,260,300,1256,3.0,2014-2015,I-17,19660630-0020
I-18,60,280,420,1240,4.0,2014-2015,I-18,19560612-0010
I-19,50,260,300,1159,3.0,2014-2015,I-19,19620424-0026
I-20,60,240,360,1107,3.0,2014-2015,I-20,19560705-0025
I-21,20,240,200,1068,3.0,2014-2015,I-21,19560612-0010
I-22,20,240,240,1048,1.0,2014-2015,I-22,19690917-0022
I-23,20,260,200,1256,4.0,2015-2016,I-23,19650303-0019
I-24,40,240,360,1251,2.0,2015-2016,I-24,19690408-0009
I-25,60,260,240,1269,2.0,2015-2016,I-25,19570828-0008
I-26,60,280,200,1200,1.0,2015-2016,I-26,19650303-0019
I-27,60,260,420,1290,4.0,2015-2016,I-27,19620424-0026
I-28,60,240,240,1197,3.0,2015-2016,I-28,19690408-0009
I-29,20,260,420,1147,3.0,2015-2016,I-29,19600905-0003
I-30,20,260,240,1123,3.0,2015-2016,I-30,19680712-0028
I-31,50,280,240,1052,3.0,2015-2016,I-31,19690917-0022
I-32,40,240,420,1186,3.0,2016-2017,I-32,19600814-0002
I-33,60,260,240,1102,4.0,2016-2017,I-33,19570828-0008
I-34,20,240,200,1227,1.0,2016-2017,I-34,19620522-0023
I-35,50,240,240,1089,2.0,2016-2017,I-35,19640220-0029
I-36,20,240,300,1084,4.0,2016-2017,I-36,19650303-0019
I-37,20,260,420,1021,1.0,2016-2017,I-37,19570828-0008
I-38,60,240,300,1252,4.0,2016-2017,I-38,19650303-0019
I-39,60,260,300,1172,3.0,2016-2017,I-39,19570826-0012
I-40,20,280,280,1158,3.0,2016-2017,I-40,19620831-0024
I-41,60,280,200,1091,4.0,2016-2017,I-41,19640220-0029
I-42,50,260,240,1045,1.0,2016-2017,I-42,19600814-0002
I-43,20,280,420,1272,3.0,2017-2018,I-43,19600905-0003
I-44,50,260,240,1248,3.0,2017-2018,I-44,19610620-0006
I-45,40,240,280,1232,3.0,2017-2018,I-45,19560612-0010
I-46,60,240,300,1006,1.0,2017-2018,I-46,19611219-0014
I-47,50,260,420,1241,3.0,2017-2018,I-47,19561222-0030
I-48,20,240,280,1215,2.0,2017-2018,I-48,19690408-0009
I-49,20,260,360,1090,2.0,2017-2018,I-49,19601021-0018
I-50,40,280,200,1085,1.0,2017-2018,I-50,19580515-0017
I-51,50,260,360,1082,3.0,2017-2018,I-51,19690408-0009
I-52,20,240,300,1033,1.0,2017-2018,I-52,19561222-0030
I-53,60,280,420,1144,3.0,2018-2019,I-53,19650303-0019
I-54,60,280,300,1250,1.0,2018-2019,I-54,19690513-0015
I-55,50,240,240,1243,2.0,2018-2019,I-55,19620522-0023
I-56,20,280,360,1147,2.0,2018-2019,I-56,19640220-0029
I-57,60,280,300,1133,1.0,2018-2019,I-57,19620831-0024
I-58,40,260,300,1239,3.0,2018-2019,I-58,19690408-0009
I-59,40,260,240,1220,1.0,2018-2019,I-59,19620424-0026
I-60,60,260,240,1178,3.0,2018-2019,I-60,19690408-0009
I-61,20,260,300,1168,2.0,2018-2019,I-61,19580218-0007
I-62,50,260,420,1078,2.0,2018-2019,I-62,19580218-0007
I-63,40,260,200,1027,3.0,2018-2019,I-63,19601021-0018
I-64,50,240,200,1157,3.0,2019-2020,I-64,19570826-0012
I-65,40,260,300,1244,2.0,2019-2020,I-65,19690917-0022
I-66,20,280,280,1183,3.0,2019-2020,I-66,19650303-0019
I-67,40,240,300,1108,2.0,2019-2020,I-67,19560812-0016
I-68,40,260,240,1267,2.0,2019-2020,I-68,19611219-0014
I-69,60,240,280,1250,4.0,2019-2020,I-69,19640220-0029
I-70,40,260,420,1246,3.0,2019-2020,I-70,19620831-0024
I-71,20,260,200,1135,1.0,2019-2020,I-71,19560812-0016
I-72,60,240,300,1099,2.0,2019-2020,I-72,19610620-0006
I-73,60,260,420,1284,2.0,2020-2021,I-73,19600814-0002
I-74,50,240,420,1239,1.0,2020-2021,I-74,19601021-0018
I-75,20,260,360,1155,1.0,2020-2021,I-75,19570615-0011
I-76,50,280,360,1130,4.0,2020-2021,I-76,19560812-0016
I-77,60,280,240,1278,4.0,2020-2021,I-77,19600905-0003
I-78,20,240,240,1204,1.0,2020-2021,I-78,19690408-0009
I-79,50,260,200,1092,2.0,2020-2021,I-79,19690917-0022
I-80,60,280,200,1060,4.0,2020-2021,I-80,19611219-0014
I-81,40,280,200,1203,2.0,2021-2022,I-81,19600905-0003
I-82,40,280,240,1086,3.0,2021-2022,I-82,19560705-0025
I-83,20,260,360,1180,2.0,2021-2022,I-83,19560705-0025
I-84,60,260,360,1167,2.0,2021-2022,I-84,19650303-0019
I-85,60,260,420,1136,2.0,2021-2022,I-85,19590129-0004
I-86,60,240,360,1048,1.0,2021-2022,I-86,19690917-0022
I-87,20,280,360,1194,2.0,2021-2022,I-87,19570828-0008
I-88,20,280,280,1079,1.0,2021-2022,I-88,19640220-0029
I-89,20,280,280,1054,4.0,2021-2022,I-89,19570826-0012
I-90,60,240,420,1043,2.0,2021-2022,I-90,19560612-0010
I-91,60,280,420,1006,4.0,2021-2022,I-91,19580218-0007
I-92,50,240,240,1263,1.0,2022-2023,I-92,19580515-0017
I-93,40,280,300,1282,3.0,2022-2023,I-93,19620424-0026
I-94,20,240,200,1170,3.0,2022-2023,I-94,19570828-0008
I-95,40,240,420,1098,4.0,2022-2023,I-95,19611219-0014
I-96,40,240,200,1005,4.0,2022-2023,I-96,19590129-0004
I-97,20,280,420,1255,3.0,2022-2023,I-97,19660630-0020
I-98,60,240,360,1222,3.0,2022-2023,I-98,19611219-0014
I-99,60,260,300,1178,3.0,2022-2023,I-99,19680712-0028
I-100,60,240,300,1088,1.0,2022-2023,I-100,19650303-0019
I-101,60,240,420,1070,3.0,2022-2023,I-101,19601021-0018
I-102,40,240,360,1067,2.0,2022-2023,I-102,19580515-0017
I-103,50,260,300,1014,3.0,2023-2024,I-103,19561222-0030
I-104,60,280,200,1299,4.0,2023-2024,I-104,19630126-0001
I-105,20,260,240,1296,2.0,2023-2024,I-105,19570828-0008
I-106,60,260,240,1132,3.0,2023-2024,I-106,19590129-0004
I-107,20,240,360,1046,2.0,2023-2024,I-107,19570615-0011
I-108,20,240,360,1289,2.0,2023-2024,I-108,19610620-0006
I-109,50,240,200,1223,1.0,2023-2024,I-109,19650303-0019
I-110,50,240,300,1137,2.0,2023-2024,I-110,19611219-0014
I-111,40,280,300,1082,4.0,2023-2024,I-111,19580515-0017
I-112,60,240,360,1265,1.0,2013-2014,I-112,19561222-0030
I-113,40,280,280,1213,3.0,2013-2014,I-113,19590129-0004
I-114,20,240,360,1085,3.0,2013-2014,I-114,19561222-0030
I-115,50,260,420,1075,1.0,2013-2014,I-115,19620424-0026
I-116,60,240,240,1272,2.0,2013-2014,I-116,19601021-0018
I-117,20,240,200,1139,3.0,2013-2014,I-117,19650303-0019
I-118,60,280,240,1101,1.0,2013-2014,I-118,19570615-0011
I-119,50,240,420,1098,4.0,2013-2014,I-119,19561222-0030
I-120,60,280,300,1083,1.0,2013-2014,I-120,19680712-0028
I-121,50,260,420,1185,3.0,2014-2015,I-121,19560705-0025
I-122,20,240,420,1271,2.0,2014-2015,I-122,19690408-0009
I-123,20,240,200,1258,3.0,2014-2015,I-123,19600529-0021
I-124,60,260,280,1073,2.0,2014-2015,I-124,19690917-0022
I-125,60,240,300,1065,3.0,2014-2015,I-125,19580515-0017
I-126,40,280,200,1218,4.0,2014-2015,I-126,19570828-0008
I-127,60,260,280,1208,4.0,2014-2015,I-127,19690917-0022
I-128,50,260,240,1100,3.0,2014-2015,I-128,19580515-0017
I-129,50,280,300,1090,1.0,2014-2015,I-129,19620424-0026
